case_number,species,nez_taille_oeil,nez_longueur_museau,nez_largeur_museau,nez_epaisseur,gueule_taille_dent,gueule_ecart_machoire,aileronHaut_longueur,aileronHaut_largeur,tronc_longueur,tronc_epaisseur,tronc_largeur,aileronBas_longueur,aileronBas_largeur,queue_taille_aileron,queue_longueur,aileronArriere_longueur,aileronArriere_largeur,bas_longueur,bas_epaisseur,bas_largeur
2012.03.31,white shark,6.55,7.97,14.12,9.13,4.72,84.71,11.36,2.27,2.43,6.14,8.06,18.11,4.74,16.65,13.4,2.26,2.07,4.46,4.0,4.66
2012.03.22,white shark,2.46,7.18,14.84,10.78,1.97,52.48,14.78,3.54,7.17,6.6,8.84,11.19,6.23,12.19,19.19,2.76,3.16,2.39,4.72,3.44
2012.03.20,bull shark,2.28,6.41,14.22,3.0,3.67,36.04,17.74,9.55,3.71,5.44,3.65,17.14,9.17,16.52,26.36,5.61,2.61,8.79,2.57,2.83
2012.03.15,bull shark,8.19,6.92,5.7,11.2,4.58,32.61,14.92,8.91,3.75,4.74,3.91,12.59,8.45,16.71,5.76,2.92,1.37,3.64,1.14,6.92
2012.03.06.a,tawny nurse shark,4.62,12.44,3.69,1.25,4.83,90.02,13.98,6.8,2.22,2.0,5.47,8.3,4.49,7.71,21.07,3.43,2.14,2.49,5.17,6.05
2012.02.26,spinner shark,7.96,10.47,2.5,11.0,3.58,51.57,18.44,5.37,2.38,6.57,3.01,13.2,6.68,7.19,19.76,4.01,1.76,7.08,2.39,5.48
2012.02.25,grey nurse shark,3.66,5.71,12.51,10.17,1.8,77.49,6.6,5.6,5.38,2.15,8.06,19.6,7.62,17.74,6.32,3.69,1.6,7.38,2.12,2.35
2012.02.20,white shark,2.21,13.25,5.06,4.1,2.06,96.18,9.99,3.04,8.38,3.71,2.79,18.44,6.07,8.02,14.31,4.11,1.09,8.29,2.43,4.72
2012.01.19,tiger shark,5.87,10.32,4.31,2.7,4.39,71.86,9.09,5.24,5.42,5.15,8.03,15.78,3.14,12.82,16.07,4.35,3.91,9.44,3.7,7.0
2012.01.22.R,tiger shark,2.21,6.96,5.2,10.84,3.83,44.57,17.3,9.87,6.01,6.62,3.31,16.58,4.43,11.25,28.16,4.45,2.97,2.18,3.63,5.76
2012.01.18.b,blue shark,1.6,6.1,3.66,13.86,1.56,47.83,5.92,2.58,6.66,1.72,7.25,13.45,2.94,10.59,21.99,1.55,3.03,3.71,5.42,7.82
2012.01.18.a,white shark,5.02,11.01,9.72,5.22,1.97,30.82,18.71,4.52,5.96,6.62,7.9,5.52,8.88,7.85,14.24,5.93,2.92,4.89,3.19,7.98
2012.01.15,bull shark,1.61,6.52,10.4,12.49,3.36,96.65,9.71,5.72,9.28,3.36,8.54,9.36,7.89,12.45,17.62,5.16,3.83,8.59,3.38,3.18
2012.01.13,white shark,1.55,6.7,14.02,5.9,4.47,48.15,6.24,8.35,6.19,7.84,6.51,15.8,7.01,17.49,14.39,5.47,2.9,8.67,2.07,4.59
2012.01.02,tiger shark,7.26,11.22,4.91,4.84,4.75,36.58,10.24,7.85,7.76,6.52,9.69,16.31,2.4,19.88,5.85,1.91,2.2,7.11,5.73,5.95
2011.12.11,white shark,2.34,11.03,7.41,13.29,2.1,40.68,16.87,4.64,7.3,1.0,4.85,8.06,4.95,8.31,9.16,4.88,3.19,9.97,2.18,5.95
2011.12.07.a,wobbegong shark,5.02,9.91,4.82,10.7,3.35,52.99,5.96,3.2,7.75,3.85,6.81,11.1,7.32,19.61,21.08,1.11,2.72,6.75,5.24,7.67
2011.11.28,wobbegong shark,1.0,8.7,6.45,5.88,4.81,22.62,5.18,3.76,2.82,5.46,4.23,7.7,7.29,6.86,27.4,4.59,1.76,4.67,3.79,4.09
2011.11.22,white shark,9.0,14.17,6.67,7.05,2.78,32.44,6.88,4.46,2.12,1.08,9.43,9.61,4.08,11.89,22.74,4.97,2.8,5.79,4.53,2.83
2011.10.29.,white shark,2.74,12.21,6.38,7.81,3.35,36.38,11.87,6.88,7.92,3.39,7.33,19.6,7.96,11.55,6.64,2.58,2.84,2.72,1.02,3.51
2011.10.28.,raggedtooth shark,1.87,12.32,7.91,13.32,3.89,81.76,6.22,3.34,6.88,2.66,3.98,14.77,9.59,12.47,13.43,4.57,2.33,8.19,1.53,4.47
2011.10.22,white shark,5.88,13.23,6.96,13.86,3.8,73.42,7.38,6.33,2.43,4.43,7.7,16.36,7.13,14.05,29.55,3.17,1.66,8.83,5.39,2.11
2011.10.20,white shark,1.38,9.23,8.06,4.28,4.35,99.52,5.67,6.24,8.35,5.38,9.12,13.14,3.87,13.83,11.66,5.94,1.3,4.27,2.64,2.98
2011.10.19,port jackson shark,9.3,13.41,5.11,13.84,3.26,49.49,5.05,2.37,8.25,2.1,4.74,19.54,9.57,14.68,16.93,5.11,1.57,6.27,2.26,5.77
2011.09.28.a,white shark,3.77,12.7,11.26,7.85,2.19,76.14,7.82,9.38,8.55,6.28,8.97,5.92,7.18,10.28,19.67,1.45,2.19,6.97,5.48,7.51
2011.09.24.b,bull shark,6.56,5.75,9.15,7.51,3.04,52.38,10.3,6.12,9.69,1.92,2.34,10.52,6.11,14.6,20.27,2.48,3.55,5.93,3.47,7.0
2011.09.11.a,tiger shark,5.47,11.08,3.7,3.14,4.11,84.43,18.56,2.08,3.69,6.21,9.61,13.88,5.33,19.27,20.75,1.3,1.79,6.67,3.45,7.44
2011.09.04.a,white shark,8.31,13.68,14.27,6.19,3.1,55.66,16.34,3.9,9.0,1.18,5.49,11.21,8.27,15.48,24.84,1.67,1.3,5.86,2.27,7.45
2011.09.02,spinner shark,2.94,10.74,7.49,13.91,4.48,87.04,18.55,5.26,9.71,5.63,2.6,9.69,7.9,12.62,25.83,5.73,1.34,8.19,1.33,7.15
2011.08.23,white shark,2.34,5.28,9.14,7.39,2.69,92.57,19.15,8.26,5.71,2.13,8.32,13.95,9.35,11.46,16.81,2.61,1.48,7.71,4.57,5.75
2011.08.17.c.,sandtiger shark,4.95,9.75,3.53,14.13,4.37,77.53,12.0,3.87,4.88,1.82,5.99,9.96,4.51,7.59,9.5,1.19,1.12,4.66,5.14,2.89
2011.08.16.c,grey reef shark,4.44,9.77,13.9,13.4,2.09,86.36,5.81,3.81,8.52,1.73,8.23,15.73,4.52,8.25,8.18,1.44,1.8,3.73,1.47,5.15
2011.08.16.a,bull shark,5.2,5.66,7.55,1.01,4.14,80.01,12.03,7.05,9.6,5.58,3.32,10.92,9.47,12.85,25.9,5.55,3.78,6.12,1.98,2.49
2011.07.22,white shark,7.62,14.6,10.03,13.28,3.38,62.49,16.12,6.07,5.01,4.61,7.9,5.61,6.33,18.08,24.47,1.49,2.81,5.77,1.53,2.35
2011.06.28,bull shark,9.54,6.24,10.51,4.16,1.72,28.18,7.79,3.71,4.96,2.6,3.85,13.3,6.14,5.66,18.88,2.31,3.12,8.19,3.95,4.44
2011.06.26,bull shark,9.98,8.5,7.5,6.56,2.99,21.29,15.85,6.79,9.43,2.02,8.18,16.07,8.66,15.75,14.08,1.81,3.87,3.57,3.96,7.25
2011.06.24,white shark,6.52,10.1,14.72,6.85,3.97,34.45,5.85,6.97,4.71,3.66,4.9,12.25,6.42,17.26,28.08,5.3,3.01,3.73,1.77,3.89
2011.06.14.R,oceanic whitetip shark,3.59,6.87,12.82,14.2,2.52,43.45,12.81,6.77,2.53,6.01,5.71,18.94,7.66,14.1,16.26,4.61,3.9,8.65,2.28,3.06
2011.06.12,blacktip shark,2.61,5.72,12.84,6.96,1.56,20.78,17.26,6.81,8.19,6.52,4.08,14.51,6.68,13.35,26.18,5.52,2.38,3.94,3.02,7.44
2011.06.06.b,sevengill shark,7.48,14.38,3.99,14.7,4.77,87.0,16.85,2.67,6.14,7.49,4.22,8.56,9.33,15.47,20.64,2.95,1.18,4.41,4.01,7.4
2011.06.01,blacktip reef shark,9.1,13.24,6.74,6.92,1.77,89.63,7.44,6.07,2.05,2.95,3.17,5.02,6.34,14.02,6.0,3.29,3.07,8.42,5.93,2.87
2011.05.29,white shark,9.1,7.04,2.72,9.89,2.48,66.75,9.68,2.4,9.89,3.34,4.54,19.27,8.22,11.42,24.46,4.24,2.31,4.87,4.43,2.52
2011.05.25,tiger shark,9.49,5.37,7.67,2.4,4.81,20.85,14.07,3.55,7.82,5.11,5.07,6.4,3.72,15.73,11.41,1.81,3.28,6.91,1.31,5.93
2011.05.22,tiger shark,3.8,5.97,9.73,12.29,3.05,32.69,5.26,3.06,4.2,6.41,5.57,7.53,5.39,15.81,8.39,2.44,2.63,3.49,3.34,5.52
2011.05.21.b,zambesi shark,7.92,11.84,14.46,14.69,4.84,29.72,19.76,8.92,4.76,6.36,5.7,7.47,7.22,6.56,9.32,2.67,3.59,4.42,5.44,4.77
2011.05.21.a,tiger shark,7.05,12.11,7.61,8.19,2.98,39.57,8.55,7.39,5.99,2.68,4.35,6.4,5.76,16.39,28.16,3.2,1.16,9.6,1.78,3.38
2011.05.10,sandbar shark,8.18,8.45,8.31,2.26,2.81,22.25,12.31,8.14,6.98,2.97,3.59,9.79,2.73,14.47,11.91,2.26,3.1,8.7,4.42,7.21
2011.04.26,bull shark,1.4,5.57,6.3,2.15,4.1,82.92,11.9,2.84,2.91,7.38,5.09,15.18,9.03,7.84,6.16,1.74,2.66,9.68,2.5,4.62
2011.04.23,reef shark,5.03,13.71,7.18,7.33,3.84,85.26,17.79,9.97,4.33,5.2,5.09,14.68,9.82,16.21,15.48,3.78,1.39,4.46,3.69,7.78
2011.04.16,bronze whaler shark,8.22,11.84,7.94,12.19,3.5,46.7,18.48,3.02,6.82,4.47,9.82,6.56,7.6,18.68,12.31,4.55,1.5,6.47,4.27,5.39
2011.04.12,bull shark,9.21,11.48,13.19,1.19,3.23,54.62,14.43,8.76,3.05,7.91,3.7,18.49,7.07,8.79,6.47,5.23,3.19,9.0,1.97,4.95
2011.03.29.R,blacktip shark,8.02,14.43,3.38,12.99,4.28,65.47,8.85,4.13,7.45,7.99,7.58,18.39,6.93,5.56,24.84,2.23,3.87,5.4,1.32,2.83
2011.03.24,bull shark,2.04,8.95,7.08,4.68,4.95,91.44,13.04,2.23,4.05,2.1,9.04,13.35,4.14,13.58,10.47,5.57,1.77,3.6,2.85,7.42
2011.03.23,bull shark,5.91,10.23,2.91,1.0,2.76,55.64,10.97,7.46,9.87,5.1,9.23,8.46,6.61,8.95,12.29,4.73,1.4,9.44,4.28,2.89
2011.02.28.R,bull shark,6.99,14.74,7.26,3.53,1.87,52.09,13.32,2.82,8.26,2.16,8.72,8.96,3.02,13.38,18.39,1.06,2.93,2.45,1.8,3.21
2011.02.17,white shark,4.55,8.25,9.5,6.59,1.75,64.44,15.94,8.91,5.63,7.3,8.75,14.72,5.97,18.08,17.89,1.26,2.05,6.07,3.71,6.91
2011.01.26,caribbean reef shark,2.63,7.34,11.57,4.98,3.36,36.18,18.59,7.63,3.14,2.45,6.88,16.75,6.81,17.57,22.57,1.97,3.88,7.3,2.63,7.91
2011.01.03,white shark,4.58,10.18,3.8,11.48,2.57,56.46,6.56,7.42,5.15,5.04,2.4,7.9,2.68,8.65,5.18,3.06,3.66,3.02,4.35,7.43
2010.12.05,oceanic whitetip shark,2.79,8.63,7.7,10.32,1.47,24.95,9.55,3.33,8.1,3.58,7.97,17.09,4.0,11.82,14.5,1.23,1.53,5.8,3.38,2.28
2010.12.01.b,mako shark,4.57,9.08,14.34,10.09,1.33,88.04,19.51,8.82,6.26,3.59,6.76,11.21,8.93,13.0,12.57,3.95,1.42,7.7,2.53,6.45
2010.12.01.a,mako shark,5.64,6.14,12.75,13.97,3.35,59.94,18.85,5.76,5.56,1.84,5.3,10.27,2.98,14.88,21.59,2.4,3.1,6.45,4.01,3.06
2010.11.30.b,oceanic whitetip shark,9.57,11.39,9.68,7.49,1.68,50.56,19.92,2.22,2.96,1.9,8.39,9.19,3.61,12.35,22.39,5.35,1.52,3.29,4.74,6.18
2010.11.30.a,oceanic whitetip shark,9.4,9.17,10.54,14.24,3.19,32.29,5.94,2.42,3.83,3.89,5.07,17.41,6.52,5.46,28.89,1.36,1.27,7.42,1.76,3.09
2010.11.12.R,white shark,2.78,12.4,9.4,2.87,1.49,70.67,12.34,3.63,7.57,3.75,6.49,17.31,2.05,6.69,21.65,4.83,2.63,7.25,2.88,4.08
2010.10.30,white shark,1.63,13.36,6.72,4.17,3.44,49.0,11.13,8.32,3.0,1.35,8.95,19.77,8.64,7.35,22.9,4.53,1.57,7.26,2.3,5.43
2010.10.23.b,porbeagle shark,2.37,11.39,13.57,3.59,2.81,64.2,10.13,8.57,4.95,6.56,7.06,5.42,2.17,9.07,7.36,3.62,1.08,4.32,3.13,5.66
2010.10.22,white shark,7.64,10.34,3.34,3.54,3.18,88.71,8.51,5.3,3.23,5.96,4.57,11.24,9.73,16.82,17.55,3.64,3.73,8.64,3.82,4.16
2010.10.09,bull shark,1.11,13.97,13.19,10.87,4.53,50.49,5.96,9.63,9.69,1.38,5.43,5.94,6.33,13.81,14.34,2.7,1.1,4.98,5.31,6.44
2010.10.02.b,lemon shark,2.71,7.27,7.39,14.47,3.83,95.73,8.58,5.04,4.54,3.62,9.27,18.75,5.62,9.99,11.21,1.37,2.37,7.21,3.9,4.7
2010.10.02.a,lemon shark,1.43,9.11,13.0,4.01,1.89,72.43,14.51,8.2,7.73,3.26,3.22,17.9,5.52,10.61,8.42,1.17,2.61,9.1,3.38,7.41
2010.09.27,white shark,5.74,14.14,9.32,3.14,3.97,65.6,18.01,9.39,5.63,2.73,7.51,15.73,2.36,10.77,28.88,4.57,3.86,3.58,3.73,7.08
2010.09.21,white shark,4.25,14.39,2.6,3.8,1.82,49.54,7.94,4.61,5.29,4.2,7.84,7.11,5.02,6.35,21.95,3.79,2.51,7.02,5.96,6.22
2010.08.17,white shark,9.97,10.73,7.18,11.36,1.45,37.61,12.15,5.87,4.75,5.21,5.37,19.49,2.28,7.38,16.47,3.41,1.92,7.23,5.54,3.31
2010.08.14,white shark,5.17,6.2,5.69,10.76,5.01,94.05,5.17,2.85,4.87,6.29,7.49,5.65,5.86,18.44,21.23,1.69,2.7,3.9,1.78,5.68
2010.08.02.b,white shark,1.1,13.91,5.4,9.83,1.65,98.98,8.89,7.39,2.46,3.6,7.79,11.29,3.41,14.82,26.05,4.65,1.4,2.38,4.74,4.3
2010.07.19,blacktip shark,1.85,8.11,4.03,6.72,1.44,58.93,14.43,3.34,3.16,1.55,8.77,7.68,5.79,15.92,16.51,3.57,2.53,6.5,2.29,2.74
2010.07.17.b,sandtiger shark,6.43,5.67,13.73,12.32,1.34,22.43,6.96,9.71,5.12,7.64,7.2,9.44,7.92,9.99,27.84,4.17,1.47,5.91,2.33,5.25
2010.07.17.a,spinner shark,4.28,6.1,10.69,4.48,4.18,27.03,17.37,5.73,9.02,5.66,9.82,5.71,7.04,6.21,14.91,4.01,1.79,7.0,1.42,7.46
2010.07.16.b,angel shark,1.49,13.65,7.14,6.3,3.07,85.99,8.55,8.86,5.03,5.97,9.73,17.89,8.34,14.37,18.29,5.31,3.56,6.49,1.65,7.27
2010.07.11,nurse shark,1.12,11.04,4.32,11.15,3.81,27.94,14.7,8.48,4.62,6.87,2.6,16.35,3.51,9.7,21.37,4.39,3.81,8.58,4.02,2.88
2010.07.03,blue shark,7.89,5.66,3.63,2.08,4.3,42.92,19.36,8.08,9.15,1.28,4.77,12.39,8.36,6.64,26.13,5.18,1.1,2.61,4.08,4.49
2010.06.27,bull shark,3.35,13.42,11.17,13.93,2.4,70.05,11.71,9.69,3.58,2.17,2.65,15.78,2.54,13.35,5.99,5.77,2.54,7.4,1.2,3.62
2010.05.30,lemon shark,3.31,14.22,10.02,12.26,4.32,40.8,12.07,6.37,8.88,3.87,8.74,7.1,8.71,11.14,21.6,2.88,3.17,7.83,3.91,6.79
2010.04.28,lemon shark,5.41,9.67,13.3,7.0,1.78,54.39,19.18,4.17,2.71,1.46,5.6,12.24,3.86,14.45,6.75,5.65,1.86,4.33,2.21,4.45
2010.04.04,oceanic whitetip shark,6.11,10.99,4.21,7.01,5.07,80.62,5.42,2.75,3.34,6.81,2.31,17.53,7.39,5.76,11.06,5.46,3.77,9.9,4.99,4.12
2010.02.19,blue shark,4.58,14.12,14.8,2.34,2.47,25.77,19.18,4.98,5.44,1.17,2.37,14.29,7.03,16.73,8.32,1.33,3.91,9.99,1.92,5.27
2010.02.11,wobbegong shark,5.5,6.63,4.48,8.62,3.03,58.4,5.46,9.81,9.28,2.61,8.06,16.45,6.62,7.98,15.32,2.49,2.48,9.9,5.93,7.27
2010.02.06.b,white shark,6.75,8.17,4.15,5.46,4.69,37.44,7.68,4.5,9.4,2.69,5.84,6.54,3.81,7.86,6.39,1.55,2.58,7.67,4.29,2.67
2010.02.06.a,spinner shark,8.79,5.86,12.57,9.92,3.62,42.22,6.98,4.79,3.33,5.09,4.96,11.97,8.36,7.47,24.01,1.84,2.52,6.76,2.75,5.68
2010.01.30,hammerhead shark,9.48,11.74,4.66,1.58,2.92,95.51,18.65,5.1,7.14,1.35,9.69,6.17,3.11,14.4,27.27,5.69,2.41,2.17,2.67,7.33
2010.01.12,white shark,9.59,12.77,9.42,11.47,4.6,94.79,9.82,8.9,7.3,5.15,6.19,6.63,9.44,5.54,11.01,4.69,2.51,4.56,3.78,6.3
2010.01.09.d,whitetip reef shark,8.81,9.83,5.24,7.94,4.39,83.74,17.61,5.61,5.45,1.63,4.48,15.6,3.07,16.17,19.43,5.25,2.08,7.5,5.15,6.28
2009.12.22,zambesi shark,6.93,13.06,2.91,14.78,3.24,46.3,5.21,5.24,5.65,6.83,5.53,13.08,8.57,13.58,14.59,5.99,2.06,4.0,2.47,2.44
2009.12.20.a,bull shark,5.59,6.78,12.88,6.99,4.7,98.53,16.78,9.31,7.19,6.66,6.29,19.22,2.07,18.6,20.35,5.66,3.13,3.05,2.92,6.13
2009.12.16,white shark,2.07,9.21,11.32,2.11,2.08,88.9,16.73,3.71,8.11,6.16,8.59,11.87,2.8,15.29,23.29,1.76,2.24,5.41,4.52,3.5
2009.12.12,white shark,3.3,5.88,13.37,4.51,1.37,97.0,14.19,6.9,7.65,5.46,8.7,12.94,7.27,10.3,20.57,4.55,3.95,4.72,4.15,7.12
2009.12.06,sandtiger shark,4.86,11.63,5.84,3.38,4.64,25.28,7.68,7.5,8.79,7.04,3.9,12.21,8.44,6.5,15.9,4.07,1.01,2.38,2.42,7.72
2009.11.16.b,thresher shark,1.94,14.06,14.6,2.58,3.6,43.46,15.05,3.69,9.81,1.06,9.27,8.81,7.42,16.83,26.4,2.41,2.76,3.67,1.79,7.16
2009.10.30,white shark,2.25,12.45,12.58,1.32,4.04,35.12,18.31,4.06,9.05,2.78,5.82,7.41,6.39,6.8,27.0,1.94,1.91,5.18,1.37,3.0
2009.10.29.R,zambesi shark,8.54,7.94,11.74,1.55,4.62,61.01,15.12,9.8,5.78,3.1,4.9,18.28,5.08,13.67,15.69,2.47,1.83,6.66,1.75,5.43
2009.10.17,angel shark,9.79,5.31,7.72,6.7,2.45,66.37,6.7,4.98,3.93,1.79,7.27,6.95,4.54,9.23,15.65,5.34,1.14,3.3,4.98,4.12
2009.10.14.R,bull shark,9.9,14.07,9.89,6.83,4.33,27.74,7.81,6.56,2.9,6.81,7.92,14.02,9.21,18.53,25.08,1.69,2.14,5.76,5.62,3.58
2009.09.26,bull shark,6.58,7.6,8.58,11.9,1.58,29.26,5.82,8.33,3.83,6.61,2.57,6.53,4.59,12.0,17.27,4.14,2.55,6.89,3.85,5.62
2009.08.29,white shark,3.21,9.89,13.25,6.26,3.08,43.68,8.59,9.53,9.2,2.05,8.65,17.75,7.35,6.04,7.75,3.74,3.08,9.7,2.32,7.79
2009.08.25,white shark,1.33,5.04,8.03,1.32,3.87,43.91,9.57,7.06,4.27,2.31,4.35,14.41,4.15,14.26,21.54,5.2,2.86,9.95,4.59,3.19
2009.08.11,white shark,6.81,14.66,6.81,9.7,4.41,95.21,10.03,8.51,3.76,4.27,2.94,17.18,3.5,10.75,20.81,3.47,1.81,6.65,4.92,4.6
2009.08.06,tiger shark,2.54,12.46,14.41,1.08,2.44,52.18,14.07,8.2,7.88,7.73,4.6,18.69,2.94,9.86,16.31,4.75,3.66,8.04,2.44,3.89
2009.08.01,bull shark,8.98,12.19,7.12,12.78,2.17,26.18,6.69,9.84,3.26,2.05,9.72,12.98,4.13,17.12,15.48,1.87,3.8,5.73,5.59,7.74
2009.07.31,bull shark,9.81,10.64,9.94,9.3,4.06,83.85,7.86,6.42,6.58,5.47,8.11,12.93,2.33,13.14,16.29,2.77,2.24,2.5,4.13,3.66
2009.07.11.b,caribbean reef shark,4.63,7.23,9.66,4.82,2.41,54.78,9.72,7.52,6.37,7.77,9.35,15.4,3.16,13.91,10.99,5.04,3.37,4.64,1.75,6.17
2009.07.04,nurse shark,3.8,11.03,12.33,7.43,2.03,44.21,16.36,9.9,9.95,4.59,7.07,12.4,2.99,9.34,8.12,4.24,3.3,3.55,2.52,6.65
2009.06.27,bronze whale shark,5.74,10.77,2.05,11.88,2.1,70.69,10.13,2.48,5.12,2.22,3.28,11.68,5.0,7.95,13.91,4.27,2.62,8.63,5.07,3.31
2009.06.14.R,white shark,6.06,7.84,6.86,8.83,1.53,92.44,6.75,7.14,7.25,3.59,3.41,18.92,3.58,9.09,17.33,2.85,2.21,8.56,1.71,5.18
2009.06.02.b,oceanic whitetip shark,2.51,7.6,10.89,14.84,4.91,61.71,14.48,7.93,3.4,4.63,8.89,11.82,5.89,12.07,9.95,3.82,3.54,5.85,5.2,5.44
2009.06.02.a,oceanic whitetip shark,3.43,6.54,13.38,5.13,4.19,37.77,18.79,4.27,8.21,7.78,6.52,15.73,6.46,10.82,19.65,4.8,1.94,6.81,5.64,3.35
2009.06.01,oceanic whitetip shark,2.17,14.27,3.09,6.04,3.22,74.15,14.07,7.7,4.65,7.61,8.9,13.22,7.4,10.86,13.2,3.46,3.55,6.84,5.78,3.86
2009.05.17,spinner shark,9.15,11.41,7.98,6.03,3.14,60.95,8.76,5.87,2.67,4.85,5.74,16.07,6.57,7.43,18.25,4.31,3.48,6.34,4.28,5.5
2009.05.16.b,spinner shark,4.46,5.12,10.25,10.24,1.38,25.47,10.01,2.58,9.19,3.5,6.6,12.18,8.88,7.79,13.0,5.72,1.81,6.9,1.76,7.01
2009.05.16.a,spinner shark,2.27,5.28,6.07,13.13,4.63,75.75,9.94,9.21,2.39,1.29,2.59,12.46,6.47,7.69,8.83,5.81,2.38,6.56,3.02,6.27
2009.05.12,blacktip shark,2.88,14.37,8.78,7.24,1.49,85.41,15.83,2.77,6.77,4.48,6.42,5.94,9.81,5.5,24.28,1.37,1.5,2.84,5.67,7.82
2009.04.06.a,white shark,1.12,13.98,4.07,4.82,4.98,52.07,11.89,3.82,8.74,7.95,5.7,12.41,6.36,9.7,5.17,3.66,1.69,6.76,2.95,5.83
2009.03.27,raggedtooth shark,2.25,9.42,6.36,9.15,2.2,21.05,10.22,4.55,3.11,4.12,5.52,19.77,6.77,13.0,29.09,3.56,3.03,2.69,3.7,6.05
2009.03.20,bronze whaler shark,5.97,9.79,9.76,4.91,4.92,50.56,19.81,5.41,5.18,2.29,4.63,12.8,4.85,17.99,25.51,1.78,3.04,7.41,3.79,6.28
2009.03.17.R,blacktip reef shark,5.38,12.74,5.22,3.78,1.74,78.81,6.64,8.85,9.48,6.2,5.24,18.12,9.06,18.85,28.34,4.68,2.12,6.77,3.71,3.8
2009.03.17,cookiecutter shark,9.66,5.15,8.38,3.78,4.94,73.45,6.31,7.27,3.73,2.51,3.76,5.6,2.28,13.47,28.29,3.35,3.06,7.71,3.07,3.47
2009.03.16.R,wobbegong shark,5.47,5.23,5.56,5.33,1.4,48.41,7.15,6.32,2.32,1.84,9.08,8.88,2.68,7.58,10.02,2.51,3.23,6.04,5.99,5.83
2009.03.02,blue shark,7.02,11.51,13.15,6.07,2.64,69.22,13.11,8.42,3.74,1.45,4.49,7.65,4.69,14.18,26.08,5.26,1.82,4.1,5.65,6.48
2009.02.12,white shark,2.51,6.0,6.34,1.85,3.04,21.07,8.8,4.57,5.91,6.06,9.09,11.79,8.52,15.24,24.08,3.7,2.24,5.12,4.52,2.97
2009.02.11,bull shark,7.05,8.76,14.29,2.42,2.1,98.38,14.61,7.65,3.38,6.01,5.47,7.02,4.09,13.86,12.57,2.58,2.17,2.07,1.04,3.8
2009.02.07.b,white shark,8.75,7.42,4.86,13.49,3.94,24.78,7.78,7.49,2.67,2.11,7.58,18.91,9.15,11.46,21.67,3.11,3.56,7.26,5.81,5.78
2009.01.25,bull shark,8.51,14.62,7.98,11.66,2.0,30.66,9.92,8.83,2.99,2.04,8.26,18.27,7.78,17.1,12.19,1.16,2.0,3.3,4.84,2.62
2009.01.24.a,tiger shark,1.02,8.29,7.78,8.14,4.71,53.97,18.09,8.7,4.57,3.59,8.76,15.66,2.57,13.52,9.09,1.09,2.62,5.7,5.73,3.18
2009.01.18,white shark,8.97,11.11,5.59,1.16,4.66,35.54,15.32,3.29,3.45,6.22,2.9,14.81,4.59,6.58,17.99,1.47,2.13,2.56,3.72,6.6
2009.01.13.R,white shark,8.92,14.14,11.76,1.02,3.3,35.43,11.04,2.97,9.04,3.44,7.08,12.76,8.64,14.24,29.59,5.0,3.29,4.72,2.85,6.15
2009.01.12,dusky shark,9.3,8.43,13.67,10.84,4.77,44.01,11.02,3.72,6.44,2.35,7.11,19.89,3.79,7.17,23.24,1.76,1.95,9.82,2.35,6.5
2009.01.11.b,white shark,2.16,6.82,12.87,12.34,2.48,46.32,17.63,5.18,7.72,1.52,4.16,10.82,2.01,15.83,17.06,4.69,1.53,4.13,5.98,2.47
2009.01.11.a,white shark,1.93,8.96,7.53,11.18,3.68,64.01,12.59,8.41,9.78,4.41,5.67,9.09,2.73,9.41,8.69,5.34,2.25,4.15,3.95,6.55
2009.01.10.R,mako shark,1.01,13.64,14.09,9.27,1.71,86.61,17.11,9.62,8.47,4.68,6.25,18.75,8.57,13.11,9.29,4.17,1.74,7.24,3.84,6.67
2009.01.06,broadnose sevengill shark,8.42,5.68,3.66,7.99,3.93,87.94,9.81,2.76,3.99,7.12,7.86,7.35,2.07,18.85,9.94,3.88,1.42,8.36,5.58,4.65
2009.01.00,bull shark,1.59,14.46,7.77,14.9,4.85,51.59,18.8,6.54,5.31,7.31,8.25,19.1,3.25,6.6,17.03,2.52,1.41,2.67,4.68,4.73
2008.12.27.b,white shark,1.36,12.81,4.16,1.85,1.69,21.67,7.2,4.27,3.38,5.78,4.1,12.76,4.16,6.62,21.68,5.67,1.53,5.45,2.03,2.46
2008.12.27.a,white shark,6.16,11.33,10.93,10.77,3.27,49.4,10.88,9.8,6.45,4.43,6.33,8.76,6.9,10.24,5.54,2.24,1.53,4.61,1.71,7.03
2008.12.20,white shark,2.65,7.04,5.85,11.93,4.85,66.57,11.63,6.38,2.72,2.17,4.24,13.91,4.77,18.3,26.86,3.12,3.4,8.77,5.41,6.87
2008.12.14,bronze whaler shark,8.56,14.54,4.01,3.21,3.28,52.6,14.53,5.62,8.37,4.37,2.88,14.87,8.38,15.19,23.53,3.15,1.0,5.55,3.42,4.71
2008.12.10,raggedtooth shark,8.32,11.2,11.95,14.34,2.76,97.27,15.6,7.18,2.34,7.16,9.68,8.42,8.45,13.34,13.28,2.89,1.83,3.09,4.74,3.27
2008.12.06,white shark,8.98,6.33,7.26,3.77,3.26,88.98,15.85,9.37,9.78,1.88,5.4,14.89,8.94,19.41,24.66,4.11,3.9,4.66,2.18,3.7
2008.12.00,zambesi shark,9.37,5.86,13.94,11.96,4.81,26.45,12.15,2.77,8.18,2.42,3.8,13.55,8.63,10.52,22.59,2.61,1.63,7.98,3.53,4.6
